row_type	node_id	node_type	parent_id	axis	state_key	option_or_rule_key	label_or_rule	target	set_values
node	D4_REFLECTION_SELECTOR	decision	D3_RADIUS_CLASSIFIER		locus_state|orientation_state|radius_state		Route to reflection node		
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|entitlement|self_centrism		R1_STABILIZE_AGENCY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|entitlement|balanced		R1_STABILIZE_AGENCY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|entitlement|altrocentrism		R2_RECIPROCAL_RESET	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|balanced|self_centrism		R3_GROUNDED_BOUNDARIES	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|balanced|balanced		R3_GROUNDED_BOUNDARIES	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|balanced|altrocentrism		R4_SHARED_STEADINESS	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|contribution|self_centrism		R3_GROUNDED_BOUNDARIES	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|contribution|balanced		R4_SHARED_STEADINESS	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victim|contribution|altrocentrism		R4_SHARED_STEADINESS	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|entitlement|self_centrism		R2_RECIPROCAL_RESET	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|entitlement|balanced		R2_RECIPROCAL_RESET	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|entitlement|altrocentrism		R5_SYSTEMS_RECIPROCITY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|balanced|self_centrism		R3_GROUNDED_BOUNDARIES	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|balanced|balanced		R5_SYSTEMS_RECIPROCITY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|balanced|altrocentrism		R5_SYSTEMS_RECIPROCITY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|contribution|self_centrism		R3_GROUNDED_BOUNDARIES	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|contribution|balanced		R4_SHARED_STEADINESS	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	balanced|contribution|altrocentrism		R6_GENERATIVE_STEWARDSHIP	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|entitlement|self_centrism		R2_RECIPROCAL_RESET	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|entitlement|balanced		R5_SYSTEMS_RECIPROCITY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|entitlement|altrocentrism		R5_SYSTEMS_RECIPROCITY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|balanced|self_centrism		R3_GROUNDED_BOUNDARIES	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|balanced|balanced		R5_SYSTEMS_RECIPROCITY	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|balanced|altrocentrism		R6_GENERATIVE_STEWARDSHIP	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|contribution|self_centrism		R4_SHARED_STEADINESS	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|contribution|balanced		R6_GENERATIVE_STEWARDSHIP	
map	D4_REFLECTION_SELECTOR	decision	D4_REFLECTION_SELECTOR		locus_state|orientation_state|radius_state	victor|contribution|altrocentrism		R6_GENERATIVE_STEWARDSHIP	
node	R1_STABILIZE_AGENCY	reflection	D4_REFLECTION_SELECTOR			When life feels narrow, steadiness can begin with one controllable move. Quiet progress is still progress.	Q4_CLOSE_STEP	
node	R2_RECIPROCAL_RESET	reflection	D4_REFLECTION_SELECTOR			Reciprocity works best when expectations are visible. Clarity often reduces tension faster than intensity.	Q4_CLOSE_STEP	
node	R3_GROUNDED_BOUNDARIES	reflection	D4_REFLECTION_SELECTOR			Boundaries and contribution can coexist. A calm boundary often protects quality, not just energy.	Q4_CLOSE_STEP	
node	R4_SHARED_STEADINESS	reflection	D4_REFLECTION_SELECTOR			Sustainable momentum comes from shared load. Name one step, one partner, and one handoff.	Q4_CLOSE_STEP	
node	R5_SYSTEMS_RECIPROCITY	reflection	D4_REFLECTION_SELECTOR			Fair exchange strengthens systems over time. Small, explicit agreements compound into trust.	Q4_CLOSE_STEP	
node	R6_GENERATIVE_STEWARDSHIP	reflection	D4_REFLECTION_SELECTOR			You are balancing agency with wider impact. Keep it durable by matching ambition to a realistic cadence.	Q4_CLOSE_STEP	
node	Q4_CLOSE_STEP	question	R1_STABILIZE_AGENCY	closure	close_step_style		What closing step style fits best for the next 24 hours?		
option	Q4_CLOSE_STEP	question	Q4_CLOSE_STEP	closure	close_step_style	quiet_commitment	One quiet commitment	D5_CLOSING_ROUTE	
option	Q4_CLOSE_STEP	question	Q4_CLOSE_STEP	closure	close_step_style	shared_alignment	One explicit alignment message	D5_CLOSING_ROUTE	
option	Q4_CLOSE_STEP	question	Q4_CLOSE_STEP	closure	close_step_style	small_experiment	One reversible experiment	D5_CLOSING_ROUTE	
node	D5_CLOSING_ROUTE	decision	Q4_CLOSE_STEP		close_step_style		Route by closing step style		
map	D5_CLOSING_ROUTE	decision	D5_CLOSING_ROUTE		close_step_style	close_step_style=quiet_commitment		SUMMARY	
map	D5_CLOSING_ROUTE	decision	D5_CLOSING_ROUTE		close_step_style	close_step_style=shared_alignment		SUMMARY	
map	D5_CLOSING_ROUTE	decision	D5_CLOSING_ROUTE		close_step_style	close_step_style=small_experiment		SUMMARY	
node	SUMMARY	summary	D5_CLOSING_ROUTE			Locus: {locus_state}; Orientation: {orientation_state}; Radius: {radius_state}; Closing style: {close_step_style}	END	
node	END	end	SUMMARY				END	
